MergedCellType	cell_type	data_source	feature_DHS	feature_ATAC	feature_H3K27ac	default_accessibility_feature	hic_cell_type	RNA_tpm_file	genome	ABCPredictionsForGWAS	nEnhancers	ABCEnhancers	Neighborhoods	Predictions	bedpe
MCF10A	MCF10A-Ji2017	Ji2017	/oak/stanford/groups/engreitz/ABC_inputs/MCF10A-Ji2017/DNase-seq_TAM00hr1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/MCF10A-Ji2017/DNase-seq_TAM00hr2.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/MCF10A-Ji2017/	/oak/stanford/groups/engreitz/ABC_inputs/MCF10A-Ji2017/H3K27ac_TAM00hr_rep1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/MCF10A-Ji2017/H3K27ac_TAM00hr_rep2.sorted.unique_alignment.bam	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF10A-Ji2017/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF10A-Ji2017/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF10A-Ji2017/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF10A-Ji2017/Predictions_AvgHiC//EnhancerPredictions.bedpe
MCF10A treated with TAM24hr	MCF10A_treated_with_TAM24hr-Ji2017	Ji2017	/oak/stanford/groups/engreitz/ABC_inputs/MCF10A_treated_with_TAM24hr-Ji2017/DNase-seq_TAM24hr.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/MCF10A_treated_with_TAM24hr-Ji2017/	/oak/stanford/groups/engreitz/ABC_inputs/MCF10A_treated_with_TAM24hr-Ji2017/H3K27ac_TAM24hr_rep2.sorted.unique_alignment.bam	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF10A_treated_with_TAM24hr-Ji2017/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF10A_treated_with_TAM24hr-Ji2017/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF10A_treated_with_TAM24hr-Ji2017/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MCF10A_treated_with_TAM24hr-Ji2017/Predictions_AvgHiC//EnhancerPredictions.bedpe
megakaryocyte-erythroid progenitor	megakaryocyte-erythroid_progenitor-Corces2016	Corces2016-Canver2017		/oak/stanford/groups/engreitz/ABC_inputs/megakaryocyte-erythroid_progenitor-Corces2016/MEP-6.merge.bam	/oak/stanford/groups/engreitz/ABC_inputs/megakaryocyte-erythroid_progenitor-Corces2016/H3K27ac_ChIP-seq.sorted.unique_alignment.bam	ATAC	ErythroidProgenitor	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/megakaryocyte-erythroid_progenitor-Corces2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/megakaryocyte-erythroid_progenitor-Corces2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/megakaryocyte-erythroid_progenitor-Corces2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/megakaryocyte-erythroid_progenitor-Corces2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
MM.1S	MM.1S-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/MM.1S-ENCODE/ENCFF295KVW.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/MM.1S-ENCODE/ENCFF450BQU.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/MM.1S-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/MM.1S-ENCODE/ENCFF014EKJ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/MM.1S-ENCODE/ENCFF712IRY.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MM.1S-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MM.1S-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MM.1S-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MM.1S-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
muscle of leg fetal	muscle_of_leg_fetal-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/muscle_of_leg_fetal-Roadmap/E090-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/muscle_of_leg_fetal-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/muscle_of_leg_fetal-Roadmap/E090-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF100IKB.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF024OXS.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF532KRA.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF829WKO.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF371PLG.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF726BBQ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF565ZDO.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF642OGU.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/muscle_of_leg_fetal-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/muscle_of_leg_fetal-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/muscle_of_leg_fetal-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/muscle_of_leg_fetal-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
muscle of trunk fetal	muscle_of_trunk_fetal-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/muscle_of_trunk_fetal-Roadmap/E089-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/muscle_of_trunk_fetal-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/muscle_of_trunk_fetal-Roadmap/E089-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF895DWZ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF972XMO.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/muscle_of_trunk_fetal-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/muscle_of_trunk_fetal-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/muscle_of_trunk_fetal-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/muscle_of_trunk_fetal-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
myotube originated from skeletal muscle myoblast	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/myotube_originated_from_skeletal_muscle_myoblast-Roadmap/E121-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/myotube_originated_from_skeletal_muscle_myoblast-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/myotube_originated_from_skeletal_muscle_myoblast-Roadmap/E121-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/myotube_originated_from_skeletal_muscle_myoblast-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/myotube_originated_from_skeletal_muscle_myoblast-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/myotube_originated_from_skeletal_muscle_myoblast-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/myotube_originated_from_skeletal_muscle_myoblast-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
natural killer cell	natural_killer_cell-Corces2016	Corces2016-ENCODE		/oak/stanford/groups/engreitz/ABC_inputs/natural_killer_cell-Corces2016/Nkcell-11.merge.bam	/oak/stanford/groups/engreitz/ABC_inputs/natural_killer_cell-Corces2016/ENCFF593IAM.tagAlign.gz	ATAC	average	/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/NKcell.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF671VUA.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/natural_killer_cell-Corces2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/natural_killer_cell-Corces2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/natural_killer_cell-Corces2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/natural_killer_cell-Corces2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
OCI-LY7	OCI-LY7-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/OCI-LY7-ENCODE/ENCFF211UMT.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/OCI-LY7-ENCODE/ENCFF720RNR.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/OCI-LY7-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/OCI-LY7-ENCODE/ENCFF093GVO.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/OCI-LY7-ENCODE/ENCFF549QTQ.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/OCI-LY7-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/OCI-LY7-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/OCI-LY7-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/OCI-LY7-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
osteoblast	osteoblast-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/osteoblast-ENCODE/ENCFF000TCD.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/osteoblast-ENCODE/ENCFF000TCE.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/osteoblast-ENCODE/ENCFF000TCG.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/osteoblast-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/osteoblast-ENCODE/ENCFF000CVH.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/osteoblast-ENCODE/ENCFF000CVJ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/osteoblast-ENCODE/ENCFF535AIK.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/osteoblast-ENCODE/ENCFF767YLX.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/osteoblast-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/osteoblast-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/osteoblast-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/osteoblast-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
ovary	ovary-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/ovary-Roadmap/E097-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/ovary-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/ovary-Roadmap/E097-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF479CKA.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/ovary-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/ovary-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/ovary-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/ovary-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
Panc1	Panc1-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/Panc1-ENCODE/ENCFF207AIO.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/Panc1-ENCODE/ENCFF911QNJ.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/Panc1-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/Panc1-ENCODE/ENCFF080ODR.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/Panc1-ENCODE/ENCFF125NMY.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF554RBN.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF582THK.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Panc1-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Panc1-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Panc1-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/Panc1-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
pancreas	pancreas-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/pancreas-Roadmap/E098-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/pancreas-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/pancreas-Roadmap/E098-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF605BGR.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF145QUW.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/pancreas-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/pancreas-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/pancreas-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/pancreas-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
PC-9	PC-9-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/PC-9-ENCODE/ENCFF246WXI.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/PC-9-ENCODE/ENCFF751UND.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/PC-9-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/PC-9-ENCODE/ENCFF079DIA.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/PC-9-ENCODE/ENCFF824HIQ.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/PC-9-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/PC-9-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/PC-9-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/PC-9-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
placenta	placenta-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/placenta-Roadmap/E091-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/placenta-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/placenta-Roadmap/E091-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF983NLH.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/placenta-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/placenta-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/placenta-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/placenta-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
psoas muscle	psoas_muscle-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/psoas_muscle-Roadmap/E100-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/psoas_muscle-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/psoas_muscle-Roadmap/E100-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/psoas_muscle-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/psoas_muscle-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/psoas_muscle-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/psoas_muscle-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
sigmoid colon	sigmoid_colon-ENCODE	ENCODE		/oak/stanford/groups/engreitz/ABC_inputs/sigmoid_colon-ENCODE/ColonSigmoid-ENCFF565VHZ.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/sigmoid_colon-ENCODE/ColonSigmoid-ENCFF591BAY.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/sigmoid_colon-ENCODE/ColonSigmoid-ENCFF775DFR.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/sigmoid_colon-ENCODE/ColonSigmoid-ENCFF911ROA.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/sigmoid_colon-ENCODE/ENCFF012NGZ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/sigmoid_colon-ENCODE/ENCFF184UEN.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/sigmoid_colon-ENCODE/ENCFF250TIL.tagAlign.gz	ATAC	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF024TLM.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF449UNU.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/sigmoid_colon-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/sigmoid_colon-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/sigmoid_colon-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/sigmoid_colon-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
SK-N-SH	SK-N-SH-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/SK-N-SH-ENCODE/ENCFF000TDZ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/SK-N-SH-ENCODE/ENCFF000TEB.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/SK-N-SH-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/SK-N-SH-ENCODE/ENCFF339DNI.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/SK-N-SH-ENCODE/ENCFF667SOQ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/SK-N-SH-ENCODE/ENCFF904SZU.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/SK-N-SH-ENCODE/ENCFF972XSR.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF433VEC.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF181GAR.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF559MUO.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF670QAY.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/SK-N-SH-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/SK-N-SH-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/SK-N-SH-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/SK-N-SH-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
skeletal muscle myoblast	skeletal_muscle_myoblast-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/skeletal_muscle_myoblast-Roadmap/E120-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/skeletal_muscle_myoblast-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/skeletal_muscle_myoblast-Roadmap/E120-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF229LIX.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF503QBP.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/skeletal_muscle_myoblast-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/skeletal_muscle_myoblast-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/skeletal_muscle_myoblast-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/skeletal_muscle_myoblast-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
small intestine fetal	small_intestine_fetal-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/small_intestine_fetal-Roadmap/E085-DNase.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/small_intestine_fetal-Roadmap/E109-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/small_intestine_fetal-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/small_intestine_fetal-Roadmap/E085-H3K27ac.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/small_intestine_fetal-Roadmap/E109-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF451SDJ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF797VDU.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF752DSP.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF510YQS.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF833PBS.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF267SSE.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/small_intestine_fetal-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/small_intestine_fetal-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/small_intestine_fetal-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/small_intestine_fetal-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
spinal cord fetal	spinal_cord_fetal-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/spinal_cord_fetal-ENCODE/ENCFF016KKE.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/spinal_cord_fetal-ENCODE/ENCFF106DMT.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/spinal_cord_fetal-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/spinal_cord_fetal-ENCODE/ENCFF153SMW.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF831EYH.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF107FQU.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF384UNR.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/spinal_cord_fetal-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/spinal_cord_fetal-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/spinal_cord_fetal-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/spinal_cord_fetal-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
